Season,Week,Celebrity,Judge_Score,Estimated_Fan_Pct,Estimated_Fan_Rank,Certainty_Std,Model_Alpha,Model_Beta,Fit_Status
4,4,Apolo Anton Ohno,0.1368421052631579,0.10889379401050467,5,0.03492452017996513,0.5,0.0,Converged
4,4,Heather Mills,0.1210526315789473,0.13410015388121518,2,0.034702069396287,0.5,0.0,Converged
4,4,Billy Ray Cyrus,0.1105263157894736,0.1043662738037768,6,0.028472497699008923,0.5,0.0,Converged
4,4,Joey Fatone,0.1473684210526315,0.11707634014297133,3,0.033585601078387595,0.5,0.0,Converged
4,4,Leeza Gibbons,0.0842105263157894,0.07499917471722119,9,0.014660856934335694,0.5,0.0,Converged
4,5,John Ratzenberger,0.1022727272727272,0.1132637811532727,6,0.027443969008929717,0.5,0.0,Converged
4,5,Ian Ziering,0.1363636363636363,0.10639490575092726,7,0.028298675517512837,0.5,0.0,Converged
4,5,Clyde Drexler,0.0738636363636363,0.10465103649441533,8,0.016806027556504975,0.5,0.0,Converged
4,5,Laila Ali,0.1590909090909091,0.13990140833106493,2,0.034554585998808396,0.5,0.0,Converged
4,5,Apolo Anton Ohno,0.1704545454545454,0.12011871376647003,5,0.03533978962389085,0.5,0.0,Converged
4,5,Heather Mills,0.1193181818181818,0.1567005516209118,1,0.03923261939028368,0.5,0.0,Converged
4,5,Billy Ray Cyrus,0.096590909090909,0.12322612644229494,4,0.028771873183014027,0.5,0.0,Converged
4,5,Joey Fatone,0.1420454545454545,0.13574347644064302,3,0.03516275534703489,0.5,0.0,Converged
4,6,John Ratzenberger,0.1117647058823529,0.15486599360031492,3,0.02872049312335735,0.5,0.0,Converged
4,6,Ian Ziering,0.1411764705882353,0.13599974294830236,6,0.028886099729564366,0.5,0.0,Converged
4,6,Laila Ali,0.1647058823529411,0.15916249697721788,1,0.04087558641121931,0.5,0.0,Converged
4,6,Apolo Anton Ohno,0.1647058823529411,0.1430069028746065,5,0.03863276568143088,0.5,0.0,Converged
4,6,Heather Mills,0.1352941176470588,0.09836668775083096,7,0.01461571879621914,0.5,0.0,Converged
4,6,Billy Ray Cyrus,0.1235294117647058,0.15237713769070171,4,0.03171711386793502,0.5,0.0,Converged
4,6,Joey Fatone,0.1588235294117647,0.15622103815802574,2,0.04243729865386639,0.5,0.0,Converged
4,7,John Ratzenberger,0.145631067961165,0.1077650783928004,6,0.0236193209563938,0.5,0.0,Converged
4,7,Ian Ziering,0.174757281553398,0.15415310535037,5,0.037909964877484666,0.5,0.0,Converged
4,7,Laila Ali,0.1909385113268608,0.19419262600628376,1,0.05100050056074197,0.5,0.0,Converged
4,7,Apolo Anton Ohno,0.174757281553398,0.17475444204029908,4,0.043950001622347606,0.5,0.0,Converged
4,7,Billy Ray Cyrus,0.1229773462783171,0.18002831293522237,3,0.03800974621700112,0.5,0.0,Converged
4,7,Joey Fatone,0.1909385113268608,0.18910643527502452,2,0.047625239523260116,0.5,0.0,Converged
4,8,Ian Ziering,0.1872509960159362,0.1918605265254569,4,0.04494369901725203,0.5,0.0,Converged
4,8,Laila Ali,0.2111553784860557,0.23192864387229187,1,0.05901289722821677,0.5,0.0,Converged
4,8,Apolo Anton Ohno,0.2310756972111553,0.19763329832870066,3,0.056131383086518494,0.5,0.0,Converged
4,8,Billy Ray Cyrus,0.1513944223107569,0.15589291544627973,5,0.030140951561108797,0.5,0.0,Converged
4,8,Joey Fatone,0.2191235059760956,0.2226846158272706,2,0.05393383947365753,0.5,0.0,Converged
4,9,Ian Ziering,0.2447257383966244,0.16627481302695485,4,0.03201196374448847,0.5,0.0,Converged
4,9,Laila Ali,0.2531645569620253,0.29021486966043175,1,0.05995257291203635,0.5,0.0,Converged
4,9,Apolo Anton Ohno,0.2489451476793249,0.25769920346200176,3,0.054289260907958416,0.5,0.0,Converged
4,9,Joey Fatone,0.2531645569620253,0.28581111385061164,2,0.05946944981688935,0.5,0.0,Converged
5,1,Cameron Mathison,0.0817120622568093,0.0025345673815381307,6,0.15,8.0,0.0,Failed_to_Fit
5,1,Jane Seymour,0.0933852140077821,2.8567136416140837e-05,8,0.15,8.0,0.0,Failed_to_Fit
5,1,Sabrina Bryan,0.1011673151750972,0.0025606260079385256,5,0.15,8.0,0.0,Failed_to_Fit
5,1,Jennie Garth,0.0817120622568093,1.209877528112962e-06,11,0.15,8.0,0.0,Failed_to_Fit
5,1,Floyd Mayweather Jr. ,0.0700389105058365,0.0045478468110101,3,0.15,8.0,0.0,Failed_to_Fit
5,1,Josie Maran,0.0622568093385214,0.1903198458356913,2,0.15,8.0,0.0,Failed_to_Fit
5,1,Albert Reed,0.0817120622568093,0.7961932650787198,1,0.15,8.0,0.0,Failed_to_Fit
5,1,Helio Castroneves,0.0972762645914396,2.6586223763695428e-05,9,0.15,8.0,0.0,Failed_to_Fit
5,1,Mel B,0.0933852140077821,0.0007181970523768368,7,0.15,8.0,0.0,Failed_to_Fit
5,1,Wayne Newton,0.0739299610894941,1.326647832410644e-07,12,0.15,8.0,0.0,Failed_to_Fit
5,1,Marie Osmond,0.0817120622568093,0.00305494510281259,4,0.15,8.0,0.0,Failed_to_Fit
5,1,Mark Cuban,0.0817120622568093,1.4210827421703955e-05,10,0.15,8.0,0.0,Failed_to_Fit
5,2,Cameron Mathison,0.088235294117647,0.0031303316111954372,5,0.15,8.0,0.0,Failed_to_Fit
5,2,Jane Seymour,0.088235294117647,3.528200150295853e-05,7,0.15,8.0,0.0,Failed_to_Fit
5,2,Sabrina Bryan,0.1092436974789916,0.0031625154633824664,4,0.15,8.0,0.0,Failed_to_Fit
5,2,Jennie Garth,0.088235294117647,1.4942660035451987e-06,10,0.15,8.0,0.0,Failed_to_Fit
5,2,Floyd Mayweather Jr. ,0.088235294117647,0.00561684362352199,2,0.15,8.0,0.0,Failed_to_Fit
5,2,Albert Reed,0.088235294117647,0.9833429422516732,1,0.15,8.0,0.0,Failed_to_Fit
5,2,Helio Castroneves,0.1134453781512605,3.283546425950842e-05,8,0.15,8.0,0.0,Failed_to_Fit
5,2,Mel B,0.0966386554621848,0.0008870132838047709,6,0.15,8.0,0.0,Failed_to_Fit
