Celebrity,Season,Week,Estimated_Fan_Pct,Certainty_Std,CI_Lower,CI_Upper,CI_Width
George Hamilton,2,3,0.1027287541996004,0.0221511322069604,0.05931253507395801,0.1461449733252428,0.08683243825128478
Lisa Rinna,2,3,0.1258230758047086,0.0335642308700822,0.0600371832993475,0.19160896831006974,0.13157178501072225
Stacy Keibler,2,3,0.1589679268359662,0.0462238925350579,0.06836909746725271,0.24956675620467966,0.18119765873742694
Jerry Rice,2,3,0.1505680259706122,0.0325840067589734,0.08670337272302434,0.21443267921820006,0.12772930649517572
Giselle Fernandez,2,3,0.0812838692875076,0.0132696666976338,0.05527532256014535,0.10729241601486984,0.052017093454724495
Master P,2,3,0.1519499676412737,0.0375938342802732,0.07826605245193823,0.22563388283060914,0.1473678303786709
Drew Lachey,2,3,0.1241611704047909,0.0339628931305013,0.057593899869008355,0.19072844094057345,0.13313454107156508
Tia Carrere,2,4,0.1323793796608746,0.0377638078229597,0.05836231632787359,0.2063964429938756,0.14803412666600202
George Hamilton,2,4,0.131390457595332,0.0271560444030165,0.07816461056541965,0.18461630462524434,0.10645169405982469
Lisa Rinna,2,4,0.1346368007234265,0.0401390877506163,0.055964188732218534,0.21330941271463444,0.1573452239824159
Stacy Keibler,2,4,0.1895794146122083,0.0559940533632252,0.07983107002028692,0.2993277592041297,0.21949668918384277
Jerry Rice,2,4,0.162341176155507,0.0462771429337388,0.07163797600537895,0.25304437630563503,0.18140640030025607
Master P,2,4,0.1037984126428057,0.0205927702192762,0.06343658301302435,0.14416024227258706,0.08072365925956271
Drew Lachey,2,4,0.1458743586098457,0.0416242121404732,0.06429090281451823,0.2274578144051732,0.163166911590655
Tia Carrere,2,5,0.1254481253081331,0.0261949513129835,0.07410602073468543,0.17679022988158077,0.10268420914689534
George Hamilton,2,5,0.116035473342098,0.0329815430475213,0.05139164896895625,0.18067929771523977,0.1292876487462835
Lisa Rinna,2,5,0.164392093029021,0.0452447536491309,0.07571237587672443,0.2530718101813176,0.17735943430459317
Stacy Keibler,2,5,0.2304305532097552,0.0602960829261414,0.11225023067451806,0.34861087574499233,0.23636064507047427
Jerry Rice,2,5,0.1870755365373137,0.0458495004733279,0.09721051560959103,0.2769405574650364,0.17973004185544533
Drew Lachey,2,5,0.1766182185736786,0.0462833515169394,0.08590284960047738,0.2673335875468798,0.1814307379464024
George Hamilton,2,6,0.1231143536997116,0.0306630419206194,0.06301479153529758,0.1832139158641256,0.12019912432882802
Lisa Rinna,2,6,0.1817460041119701,0.0502575915935875,0.08324112458853858,0.2802508836354016,0.19700975904686305
Stacy Keibler,2,6,0.2689985024736952,0.0784625240499962,0.11521195533570269,0.4227850496116877,0.307573094275985
Jerry Rice,2,6,0.2199702662492365,0.0577291191604573,0.10682119269474018,0.3331193398037328,0.22629814710899265
Drew Lachey,2,6,0.2061708734653862,0.0570446762699384,0.09436330797630695,0.3179784389544655,0.22361513097815855
Lisa Rinna,2,7,0.1851614150800626,0.039637130149699,0.10747263998665255,0.26285019017347266,0.15537755018682012
Stacy Keibler,2,7,0.3122931619636075,0.0733133280752825,0.16859903893605382,0.4559872849911612,0.2873882460551074
Jerry Rice,2,7,0.2755501969619939,0.0547372625238114,0.16826516241532358,0.3828352315086642,0.21457006909334064
Drew Lachey,2,7,0.2269952259943361,0.0559212493479936,0.11738957727226866,0.33660087471640354,0.21921129744413487
Harry Hamlin,3,1,0.0704543272843077,0.0173163950114105,0.036514193061943125,0.10439446150667228,0.06788026844472916
Vivica A. Fox,3,1,0.0960018941688476,0.0274245879473369,0.04224970179206728,0.14975408654562794,0.10750438475356067
Monique Coleman,3,1,0.1053164291035499,0.0303347853080295,0.04586024989981207,0.1647726083072877,0.11891235840747563
Joey Lawrence,3,1,0.1011621393714767,0.0292563986697341,0.04381959797879786,0.15850468076415553,0.11468508278535766
Mario Lopez,3,1,0.0906584924673875,0.0262566382164486,0.03919548156314824,0.14212150337162677,0.10292602180847853
Emmitt Smith,3,1,0.0729202219085433,0.0236228124687532,0.026619509469787035,0.11922093434729958,0.09260142487751255
